#,etablissement,ville,commune,capacite_d_accueil,montant_des_frais_d_inscription,liste_des_filieres
106,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA ADJAME),ABIDJAN,ADJAME,0,,2115
107,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA ANGRE),ABIDJAN,COCODY,0,,2116
108,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA KOUMASSI),ABIDJAN,KOUMASSI,0,,2118
109,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA PORT BOUET),ABIDJAN,PORT BOUET,0,100.000frs,2119
110,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA YOPOUGON),ABIDJAN,YOPOUGON,0,,2114
111,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA),ABIDJAN,COCODY,0,160 000 F,1012
112,UNIVERSITE NOUVELLE DE CÔTE D'IVOIRE,ABIDJAN,,0,,2130
113,UNIVERSITE OUEST AFRICAINE -(UOA),ABIDJAN,RIVIERA,0,,823
114,UNIVERSITE POLYTECHNIQUE AGITEL FORMATION (UPAF),ABIDJAN,COCODY,0,40 000 FCFA,2105
115,UNIVERSITE POLYTECHNIQUE DE BINGERVILLE -(UPB),ABIDJAN,BINGERVILLE,0,85000,683
116,UNIVERSITE POLYTECHNIQUE KIBIO -(UPK),ABIDJAN,COCODY,0,,892
117,UNIVERSITE PRIVE N'TAYE (UPN),ABIDJAN,TREICHVILLE,0,,833
118,UNIVERSITE PRIVEE AGRICOLE DE COTE D'IVOIRE (UPRACI),ADZOPE,ADZOPE,0,,856
119,UNIVERSITE PRIVEE INTERNATIONALE AKANDJI (UPIA),ABIDJAN,COCODY,0,300 000 F,906
120,UNIVERSITE PRIVEE SOUMARE -(UNIVERSITE SOUMARE),ABIDJAN,COCODY,0,50 000 F,1023
121,UNIVERSITE PROTESTANTE EVANGELIQUE DE COTE D'IVOIRE -(UPE-CI),YAMOUSSOUKRO,YAMOUSSOUKRO,0,,830
122,UNIVERSITE SAINT PAUL (USP),ABIDJAN,ABOBO,0,Gratuit,945
123,UNIVERSITE SANKOFA DE COTE D'IVOIRE (USCI) - BONDOUKOU,BONDOUKOU,BONDOUKOU,0,,2127
124,UNIVERSITE SEPI YOPOUGON -(US YOPOUGON),ABIDJAN,YOPOUGON,0,Affectés 120 000/ Non Affectés 220 000,898
125,UNIVERSITE TAHARQA SARE -(UTS),ABIDJAN,COCODY,0,80.000 FCFA,1025
126,UNIVERSITE TERTIAIRE ET TECHNOLOGIE LOKO -(UTT-LOKO),ABIDJAN,MARCORY,0,85000,534
127,UNIVERSITE VAME DE BOUAKE (UVB),BOUAKE,BOUAKE,0,,857
128,UNIVERSITE VIRTUELLE PANAFRICAINE DE TECHNOLOGIE -(UVPT),ABIDJAN,COCODY,0,450 000 F,702
129,UNIVERSITY OF ABIDJAN -(UNI ABIDJAN),ABIDJAN,COCODY,0,95 000 F CFA,151
130,UNVERSITE CANADIENNE DES ARTS DES SCIENCES ET DU MANAGEMENT -(UCASM),ABIDJAN,COCODY,0,,1011
131,Université Al Fourqane de Cote d'Ivoire -(UFCI),ABIDJAN,YOPOUGON,0,100 000 Fcfa,535
132,Université Internationale ICK - U2ICK,BOUAKE,BOUAKE,0,200.000 F,1069
133,Université Internationale des Sciences Appliquées et de Technologies - UNISAT (UNIV),ABIDJAN,COCODY,0,200 000 FCFA,404
134,Université Méthodiste de Côte d'Ivoire - UMECI,ABIDJAN,COCODY,0,210 000 F,527
135,Université Populaire de Cote d'Ivoire (UPCI),ABIDJAN,YOPOUGON,0,,933
136,Université Tahaqa Sarê - UNISS (Université Internationale des Sciences Sociale Hampâté Bâh ),ABIDJAN,COCODY,0,80.000 FCFA,170
137,Université de technologie de Songon (UTS),ABIDJAN,SONGON,0,130.000 F,2113
138,VALORIS INTERNATIONAL UNIVERSITY -(VIU),ABIDJAN,COCODY,0,250 000 F,810
139,WEST AFRICA UNIVERSITY (WAU),SAN PEDRO,SAN PEDRO,0,100000,832
