rang,total/160,moy/20,mention,nom,ville,commune
206,"93,0","11,63",PASSABLE,ECOLE SPECIALE DU BÂTIMENT ET DES TRAVAUX PUBLICS PLATEAU -(ESBTP PLATEAU),ABIDJAN,PLATEAU
218,"92,0","11,5",PASSABLE,ECOLE SUPERIEURE DES SCIENCES ECONOMIQUES COMMERCIALES ET DE TECHNOLOGIES POINCARE COCODY -(ESSECT POINCARE COCODY),ABIDJAN,COCODY
218,"92,0","11,5",PASSABLE,ECOLE DES ETUDES COMMERCIALES ET ECONOMIQUES -(EECE),ABIDJAN,COCODY
221,"91,0","11,38",PASSABLE,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS COCODY -(IES-LE CAMPUS COCODY),ABIDJAN,COCODY
221,"91,0","11,38",PASSABLE,ACADEMIE LIBRE DE TECHNOLOGIE-INSTITUT SECONDAIRE DE TECHNOLOGIE -(ALT-ISTEA YOPOUGON),ABIDJAN,YOPOUGON
221,"91,0","11,38",PASSABLE,EURO-FORMATION II PLATEAUX -(EUROF II PLATEAUX),ABIDJAN,COCODY
221,"91,0","11,38",PASSABLE,GROUPE ONYX-EXCELLENCE YOPOUGON -(GOEY),ABIDJAN,YOPOUGON
221,"91,0","11,38",PASSABLE,SUP'BARAKAT -(SUP'BARAKAT),ABIDJAN,YOPOUGON
221,"91,0","11,38",PASSABLE,ESCI PLATEAU -(ESCI PLATEAU),ABIDJAN,PLATEAU
221,"91,0","11,38",PASSABLE,ECOLE POLYFINANCE ET DE TECHNOLOGIE APPLIQUEE -(EPTA),ABIDJAN,COCODY
221,"91,0","11,38",PASSABLE,INSTITUT SUPERIEUR DE TECHNOLOGIE DE L'IFFOU -(ISTI),DAOUKRO,DAOUKRO
221,"91,0","11,38",PASSABLE,NBA BUSINESS SCHOOL -(NBS SARL),ABIDJAN,COCODY
230,"90,0","11,25",PASSABLE,DEMING EXCELLENCE INSTITUTE GRANDE ÉCOLE (DEI),ABIDJAN,COCODY
230,"90,0","11,25",PASSABLE,INSTITUT SUPÉRIEUR DE GESTION YOH -(ISG YOH),ABIDJAN,COCODY
230,"90,0","11,25",PASSABLE,INSTITUT VOLTAIRE D'ENSEIGNEMENT SUPERIEUR TECHNIQUE ET PROFESSIONNEL TREICHVILLE -(IVESTP TREICHVILLE),ABIDJAN,TREICHVILLE
233,"89,0","11,13",PASSABLE,INSTITUT SUPERIEUR DES SCIENCES ET DE GESTION -(IS2G),ABIDJAN,YOPOUGON
233,"89,0","11,13",PASSABLE,GROUPE ITA-INGENIERIE SA ANTENNE YOPOUGON -(G2I YOPOUGON),ABIDJAN,YOPOUGON
233,"89,0","11,13",PASSABLE,INSTITUT DES HAUTES ETUDES COMMERCIALES D'ABIDJAN -(IHEC ABIDJAN),ABIDJAN,COCODY
233,"89,0","11,13",PASSABLE,INSTITUT SUPERIEUR GRACE MARIE -(ISGM),ABIDJAN,KOUMASSI
237,"88,0","11,0",PASSABLE,ECOLE CENTRALE D'ABIDJAN -(ECA),ABIDJAN,COCODY
237,"88,0","11,0",PASSABLE,PROMOTRAN ISF -(PISF),ABIDJAN,COCODY
237,"88,0","11,0",PASSABLE,ACADEMIE INTERNATIONALE DES SCIENCES ET TECHNIQUES TOUMODI -(AIST TOUMODI),TOUMODI,TOUMODI
237,"88,0","11,0",PASSABLE,INSTITUT SUPERIEUR BLAISE PASCAL BINGERVILLE -(ISBP),ABIDJAN,BINGERVILLE
237,"88,0","11,0",PASSABLE,ECOLE SUPERIEURE D'INFORMATIQUE ET DE COMMERCE KORHOGO -(ESICOM KORHOGO),KORHOGO,KORHOGO
237,"88,0","11,0",PASSABLE,INSTITUT SUPERIEUR N'GOTTA TOUMODI -(ISNT),TOUMODI,TOUMODI
243,"87,0","10,88",PASSABLE,ESCI YOPOUGON -(ESCI YOPOUGON),ABIDJAN,YOPOUGON
243,"87,0","10,88",PASSABLE,CENTRE DES ETUDES SUPERIEURES DES ETUDES D'ABIDJAN KOUMASSI -(CESA KOUMASSI),ABIDJAN,KOUMASSI
246,"86,0","10,75",PASSABLE,ECOLE SUPERIEURE DE FORMATION AUX METIERS D'INFORMATIQUE ET DE GESTION -(ESFIG),ABIDJAN,COCODY
246,"86,0","10,75",PASSABLE,ECOLE SUPERIEURE DE TECHNOLOGIE DE COMMERCE ET DE MANAGEMENT ANYAMA -(ESTCOM),ABIDJAN,ANYAMA
246,"86,0","10,75",PASSABLE,INSTITUT SUPERIEUR DE TECHNOLOGIE APPLIQUEE DE YAMOUSSOUKRO -(ISTA),YAMOUSSOUKRO,YAMOUSSOUKRO
246,"86,0","10,75",PASSABLE,ECOLE DES SPÉCIALITÉS MULTIMÉDIA D'ABIDJAN ODIENNE -(ESMA ODIENNÉ),ODIENNE,ODIENNE
250,"85,0","10,63",PASSABLE,INSTITUT DES HAUTES ETUDES PROFESSIONNELLES AFRIQUE -(IHEP AFRIQUE),ABIDJAN,COCODY
250,"85,0","10,63",PASSABLE,INSTITUT DES METIERS DE COMMERCE -(IMC),ABIDJAN,YOPOUGON
250,"85,0","10,63",PASSABLE,INSTITUT DES NOUVELLES TECHNIQUES AGRICOLES -(INTA),AZAGUIE,AZAGUIE
250,"85,0","10,63",PASSABLE,INSTITUT SUPERIEUR LES ELITES KORHOGO -(ISE KORHOGO),KORHOGO,KORHOGO
250,"85,0","10,63",PASSABLE,ACADEMIE INTERNATIONALE DES SCIENCES ET TECHNIQUES PLATEAU -(AIST PLATEAU),ABIDJAN,PLATEAU
250,"85,0","10,63",PASSABLE,ECOLE SUPERIEUR DE COMMERCE ET DE GESTION LA SORBONNE -(ESCG LA SORBONNE),ABIDJAN,YOPOUGON
250,"85,0","10,63",PASSABLE,ECOLE POLYTECHNIQUE LEONARD DE VINCI -(EPLDV),DALOA,DALOA
257,"84,0","10,5",PASSABLE,INSTITUT SUPERIEUR DES TECHNOLOGIES ET DE MANAGEMENT ABIDJAN (ISTEMA PLATEAU),ABIDJAN,PLATEAU
257,"84,0","10,5",PASSABLE,INSTITUT DE FORMATION PROFESSIONNELLE ET GENERALE/INSTITUT SUPERIEUR DE FORMATION TECHNIQUE ET PROFESSIONNELLE KORHOGO -(IFPG/ISFPT KORHOGO),KORHOGO,KORHOGO
259,"83,0","10,38",PASSABLE,ECOLE POLYTECHNIQUE INTERNATIONALE DE YAMOUSSOUKRO -(EPI-YAKRO),YAMOUSSOUKRO,YAMOUSSOUKRO
259,"83,0","10,38",PASSABLE,IST SAINT JACQUES BOUAKE -(ISTSJBKE),BOUAKE,BOUAKE
259,"83,0","10,38",PASSABLE,INSTITUT SUPERIEUR KLEYS -(KLEYS),ABIDJAN,COCODY
259,"83,0","10,38",PASSABLE,INSTITUT DES SCIENCES ET TECHNIQUES -(ISET Sarl),KATIOLA,KATIOLA
259,"83,0","10,38",PASSABLE,INSTITUT INTERNATIONAL DES ARTS ET METIERS DE COTE D IVOIRE (2IAM),ABIDJAN,COCODY
264,"82,0","10,25",PASSABLE,GROUPE ONYX EXCELLENCE KORHOGO -(GOEK),KORHOGO,KORHOGO
264,"82,0","10,25",PASSABLE,SUP'INTER YOPOUGON -(SUP'INTER YOPOUGON),ABIDJAN,YOPOUGON
264,"82,0","10,25",PASSABLE,INSTITUT DE FORMATION PROFESSIONNELLE ET GENERALE/INSTITUT SUPERIEUR DE FORMATION TECHNIQUE ET PROFESSIONNELLE PLATEAU -(IFPG/ISFPT PLATEAU),ABIDJAN,PLATEAU
264,"82,0","10,25",PASSABLE,ECOLE SUPERIEURE LE PETIT CHAMPION -(ESPC),ABIDJAN,ABOBO
264,"82,0","10,25",PASSABLE,EURO-FORMATION YOPOUGON -(EUROF YOPOUGON),ABIDJAN,YOPOUGON
264,"82,0","10,25",PASSABLE,ECOLE SUPERIEURE GUE PASCAL -(ESGP),MAN,MAN
264,"82,0","10,25",PASSABLE,INSTITUT POLYTECHNIQUE DES METIERS DE BONGOUANOU -(INPM-B),BONGOUANOU,BONGOUANOU
264,"82,0","10,25",PASSABLE,INSTITUT PROSELYTE -(IP),ABIDJAN,YOPOUGON
264,"82,0","10,25",PASSABLE,INSTITUT SUPERIEUR D'ADMINISTRATION D'ENTREPRISE -(ISAE ABIDJAN),ABIDJAN,COCODY
274,"81,0","10,13",PASSABLE,ACADEMIE DE GESTION ET D'HOTELLERIE -(AGH),ABIDJAN,MARCORY
274,"81,0","10,13",PASSABLE,INSTITUT SUPERIEUR DE TECHNOLOGIE DUBASS -(IST-DUBASS),ABIDJAN,RIVIERA
274,"81,0","10,13",PASSABLE,INSTITUT DES SCIENCES ET INGENIERIES DE DEVELOPPEMENT -(ISID),ABIDJAN,COCODY
274,"81,0","10,13",PASSABLE,INSTITUT SUPERIEUR LES CAIMANS-SAN PEDRO -(ISC-SAN PEDRO),SAN PEDRO,SAN PEDRO
278,"80,0","10,0",PASSABLE,CENTRE DES ETUDES SUPERIEURES DES ETUDES D'ABIDJAN YOPOUGON -(CESA YOPOUGON),ABIDJAN,YOPOUGON
278,"80,0","10,0",PASSABLE,GROUPE ONYX EXCELLENCE SAN-PEDRO -(GOESP),SAN PEDRO,SAN PEDRO
278,"80,0","10,0",PASSABLE,GROUPE CONCORDET N'DOTRE -(ESGTC N'DOTRE),ABIDJAN,ABOBO
278,"80,0","10,0",PASSABLE,ECOLE INTERNATIONALE TERTIAIRE DES NOUVELLES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION BOUAKE -(EIT-NTIC BOUAKE),BOUAKE,BOUAKE
278,"80,0","10,0",PASSABLE,ECOLE SUPERIEURE DE COMMERCE D'ABENGOUROU -(ESC ABENGOUROU),ABENGOUROU,ABENGOUROU
278,"80,0","10,0",PASSABLE,ECOLE INTERNATIONALE DES AFFAIRES DES FINANCES ET DE LA COMPTABILITE -(EIAFC),DALOA,DALOA
278,"80,0","10,0",PASSABLE,ECOLE TECHNIQUE INFORMATIQUE ET COMMERCIALE ODIENNE -(ETIC ODIENNE),ODIENNE,ODIENNE
285,"79,0","9,88",INSUFFISANT,ECOLE SUPERIEURE D'INFORMATIQUE ET DE COMMERCE COCODY -(ESICOM COCODY),ABIDJAN,COCODY
286,"78,0","9,75",INSUFFISANT,INSTITUT SUPERIEUR SAINT JAURES -(IS2J),ABIDJAN,ABOBO
286,"78,0","9,75",INSUFFISANT,ECOLE SUPERIEURE DES TECHNIQUES ET SPECIALITES POUR L'EDUCATION ET LA FORMATION -(EDUFOR),ABIDJAN,YOPOUGON
286,"78,0","9,75",INSUFFISANT,INSTITUT SUPERIEUR DES TECHNOLOGIES APPLIQUEES DE BONDOUKOU -(ITAB),BONDOUKOU,BONDOUKOU
286,"78,0","9,75",INSUFFISANT,GROUPE YAL -(GYAL),DIVO,DIVO
290,"77,0","9,63",INSUFFISANT,INSTITUT SUPERIEUR TECHNIQUE SAINT JACQUES -(IST St JACQUES),ABIDJAN,COCODY
291,"76,0","9,5",INSUFFISANT,GROUPE ONYX EXCELLENCE ABENOUROU -(GOEA),ABENGOUROU,ABENGOUROU
292,"75,0","9,38",INSUFFISANT,INTERNATIONAL TECHNOLOGY ACADEMY DALOA -(IT ACADEMY DALOA),DALOA,DALOA
292,"75,0","9,38",INSUFFISANT,ECOLE SUPERIEURE LA BONNE ESPERANCE -(ESBE),ABIDJAN,COCODY
294,"74,0","9,25",INSUFFISANT,CENTRE DE FORMATION EN ADMINISTRATION ET EN MECANIQUE -(CFAM),ABIDJAN,COCODY
294,"74,0","9,25",INSUFFISANT,INSTITUT DE COMMUNICATION DE GESTION ET D'ETUDE SCIENTIFIQUE PLATEAU -(ICOGES PLATEAU),ABIDJAN,PLATEAU
294,"74,0","9,25",INSUFFISANT,INSTITUT TECHNIQUE ET PROFESSIONNEL - CERIN -(ITP - CERIN),ABIDJAN,YOPOUGON
294,"74,0","9,25",INSUFFISANT,ECOLE INTERNATIONALE TERTIAIRE DES NOUVELLES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION COCODY -(EIT-NTIC COCODY),ABIDJAN,COCODY
298,"73,0","9,13",INSUFFISANT,LEGACY INSTITUTE -(LEGACY),ABIDJAN,ABOBO
300,"72,0","9,0",INSUFFISANT,ECOLE SUPERIEURE KINDALL -(ESK),ABIDJAN,ANYAMA
300,"72,0","9,0",INSUFFISANT,INSTITUT SUPERIEUR DE FORMATION SIBATA -(ISFOS),ABIDJAN,YOPOUGON
300,"72,0","9,0",INSUFFISANT,ECOLE SUPERIEURE D'INTELLIGENCE ECONOMIQUE COCODY -(ESIE COCODY),ABIDJAN,COCODY
303,"69,0","8,63",INSUFFISANT,GROUPE ECOLE DES SCIENCES APPLIQUEES ET GESTION DES ENTREPRISES DE GAGNOA -(GROUPE ESSA GAGNOA),GAGNOA,GAGNOA
304,"68,0","8,5",INSUFFISANT,INSTITUT SUPERIEUR D'ETUDES COMMERCIALES -(ISEC),BOUAFLE,BOUAFLE
305,"66,0","8,25",INSUFFISANT,ESCOM ESPACE FLORA -(ESCOM),DALOA,DALOA
305,"66,0","8,25",INSUFFISANT,INSTITUT SUP√âRIEUR DE FORMATION TECHNIQUE ET TERTIAIRE YOPOUGON -(ISFOTT),ABIDJAN,YOPOUGON
305,"66,0","8,25",INSUFFISANT,INSTITUT NATIONAL D'INTELLIGENCE NUMERIQUE ECONOMIQUE ET COMMERCIALE -(INEC),DALOA,DALOA
308,"65,0","8,13",INSUFFISANT,INSTITUT DE FORMATION DOUMBIA TOUMANY MUHAMMAD -(IF-DTM),ABIDJAN,YOPOUGON
308,"65,0","8,13",INSUFFISANT,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS MAN -(IES-LE CAMPUS MAN),MAN,MAN
308,"65,0","8,13",INSUFFISANT,HAUTES ETUDES DE COMMERCE ET D'ADMINISTRATION DES ENTREPRISES YAMOUSSOUKRO -(HEC-AD YAMOUSSOUKRO),YAMOUSSOUKRO,YAMOUSSOUKRO
311,"64,0","8,0",INSUFFISANT,CENTRALE SUP -(CS),ABIDJAN,COCODY
311,"64,0","8,0",INSUFFISANT,INSTITUT INTERNATIONAL DE FORMATION TECHNIQUE ET PROFESSIONNELLE -(2IFTP),YAMOUSSOUKRO,YAMOUSSOUKRO
314,"63,0","7,88",INSUFFISANT,ECOLE SUPERIEURE DE COMMERCE D'ADMINISTRATION ET DE MANAGEMENT BOUAKE -(ESCAM BOUAKE),BOUAKE,BOUAKE
315,"61,0","7,63",INSUFFISANT,INSTITUT SUPERIEUR AFRICAIN DE COMMERCE ET DE MANAGEMENT -(ISACM),KORHOGO,KORHOGO
316,"60,0","7,5",INSUFFISANT,COURS SUPERIEUR SAINT PIERRE MARCORY -(CSSP MARCORY),ABIDJAN,MARCORY
317,"59,0","7,38",INSUFFISANT,ECOLE SUPERIEURE DES TECHNOLOGIES AVANCEES ET DE MANAGEMENT AGBOVILLE (ESTAM AGBOVILLE),AGBOVILLE,AGBOVILLE
317,"59,0","7,38",INSUFFISANT,INTERNATIONAL BUSINESS SCHOOL COTE D'IVOIRE -(IBS-CI),ABIDJAN,YOPOUGON
319,"57,0","7,13",INSUFFISANT,HAUTES ETUDES COMMERCIALES LA ROCHE RIVERA -(HEC LA ROCHE RIVERA),ABIDJAN,RIVIERA
319,"57,0","7,13",INSUFFISANT,ECOLE SUPERIEURE YOBOUE KOUASSI BLE -(ESYKB),ABIDJAN,YOPOUGON
319,"57,0","7,13",INSUFFISANT,INSTITUT SUPERIEUR DE FORMATION PROFESSIONNELLE HARIEL -(ISFPH),BOUAKE,BOUAKE
322,"56,0","7,0",INSUFFISANT,ECOLE SUPERIEURE DE COMMERCE D'ADMINISTRATION ET DE MANAGEMENT SAN-PEDRO -(ESCAM SAN-PEDRO),SAN PEDRO,SAN PEDRO
324,"55,0","6,88",INSUFFISANT,INSTITUT D'ENSEIGNEMENT SUPERIEUR EYLIM -(IESE),YAMOUSSOUKRO,YAMOUSSOUKRO
325,"54,0","6,75",INSUFFISANT,ECOLE TECHNIQUE SUPERIEURE SAGUIDIBA YOPOUGON -(ESTA YOPOUGON),ABIDJAN,YOPOUGON
326,"49,0","6,13",INSUFFISANT,GROUPE DE FORMATION EN COMMERCE ET GESTION DES ENTREPRISES DALOA -(GROUPE CGE DALOA),DALOA,DALOA
326,"49,0","6,13",INSUFFISANT,AFRICAN VISION INSTITUT DE DEVELOPPEMENT ET D'ECONOMIE -(AVIDE EDUCATION),ABIDJAN,COCODY
328,"48,0","6,0",INSUFFISANT,ATSAM-AGI,ABIDJAN,YOPOUGON
328,"48,0","6,0",INSUFFISANT,Ecole Supérieure de Management La Perruche -(ESM LA PERRUCHE),ABIDJAN,ANYAMA
330,"46,0","5,75",INSUFFISANT,GROUPE EXPERT METIER SA -(GEM SA),ABIDJAN,COCODY
330,"46,0","5,75",INSUFFISANT,INSTITUT SAINT SAUVEUR DE MEMNI -(ISSM),ALEPE,ALEPE
332,"45,0","5,63",INSUFFISANT,ECOLE SUPERIEUR POLYTECHNIQUE -(ESP),ABIDJAN,COCODY
333,"44,0","5,5",INSUFFISANT,INSTITUT SUPERIEUR DES METIERS DE GESTION ET DE TECHNOLOGIE -(ISMGT),ABIDJAN,COCODY
334,"43,0","5,38",INSUFFISANT,GROUPE ECOLE DE TECHNOLOGIE ET DE COMMERCE PORT-BOUËT -(GROUPE ETEC PORT-BOUËT),ABIDJAN,PORT BOUET
334,"43,0","5,38",INSUFFISANT,INTERNATIONAL PROFESSIONNEL INSTITUT -(IPI),SAN PEDRO,SAN PEDRO
336,"42,0","5,25",INSUFFISANT,INSTITUT SUPERIEUR ROBERT DION -(ISRD),MAN,MAN
337,"40,0","5,0",INSUFFISANT,GROUPE ECOLE DE TECHNOLOGIE ET DE COMMERCE YOPOUGON -(GROUPE ETEC YOPOUGON),ABIDJAN,YOPOUGON
338,"39,0","4,88",INSUFFISANT,IMBA INTERNATIONAL BUSINESS SCHOOL -(IMBA),ABIDJAN,BINGERVILLE
339,"38,0","4,75",INSUFFISANT,GROUPE D'ENSEIGNEMENT SUPERIEUR ET PROFESSIONNEL D'AGBE LAKOTA -(GESSP LAKOTA),LAKOTA,LAKOTA
340,"35,0","4,38",INSUFFISANT,ECOLE DES SCIENCES APPLIQUEES -(ESAP),ABIDJAN,YOPOUGON
341,"34,0","4,25",INSUFFISANT,INSTITUT IMPERIAL -(2I),ABIDJAN,COCODY
341,"34,0","4,25",INSUFFISANT,INSTITUT SUPERIEUR BOSOL GAGNOA -(ISB GAGNOA),GAGNOA,GAGNOA
343,"33,0","4,13",INSUFFISANT,INSTITUT DE FORMATION ET D'ENSEIGNEMENT SUPERIEUR -(IFES),ABIDJAN,YOPOUGON
344,"28,0","3,5",INSUFFISANT,INSTITUT SUPERIEUR SAINT CYRILLE -(I2SC),ABIDJAN,YOPOUGON
345,"25,0","3,13",INSUFFISANT,INSTITUT SUPÉRIEUR DE MARKETING ET DE COMPTABILITE DALOA -(ISMC DALOA),DALOA,DALOA
346,"22,0","2,75",INSUFFISANT,ECOLE SUPERIEUR FATOUMABA -(ESFAT),ABIDJAN,YOPOUGON
347,"18,0","2,25",INSUFFISANT,GROUPE ECOLES BETHEL -(GEB),ABIDJAN,RIVIERA
348,"13,0","1,63",INSUFFISANT,CENTRE DE FORMATION DES CADRES -(CFC),DALOA,DALOA
